Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20181102_082940	2205	16	1212.600	-19.2001	-36.1033	-280.5175
HKDS2004_Fast_IsoWater_20181102_082940	2205	17	1212.625	-19.2795	-36.3017	-282.2164
HKDS2004_Fast_IsoWater_20181102_082940	2205	18	1212.650	-19.6385	-36.8236	-287.0964
HKDS2004_Fast_IsoWater_20181103_173140	2205	19	1212.675	-19.6480	-37.0203	-289.5563
HKDS2004_Fast_IsoWater_20181103_173140	2205	20	1212.700	-19.4748	-36.7046	-286.4190
HKDS2004_Fast_IsoWater_20181103_173140	2205	21	1212.725	-19.2036	-36.1165	-280.0866
HKDS2004_Fast_IsoWater_20181103_173140	2205	22	1212.750	-18.9633	-35.6315	-276.4016
HKDS2004_Fast_IsoWater_20181103_173140	2206	1	1212.775	-18.9992	-35.8228	-278.1194
HKDS2004_Fast_IsoWater_20181103_173140	2206	2	1212.800	-19.2008	-36.0896	-281.4867
HKDS2004_Fast_IsoWater_20181103_173140	2206	3	1212.825	-19.4590	-36.6433	-286.7156
HKDS2004_Fast_IsoWater_20181103_173140	2206	4	1212.850	-19.8326	-37.3369	-293.3401
HKDS2004_Fast_IsoWater_20181103_173140	2206	5	1212.875	-20.2477	-38.0743	-299.6353
HKDS2004_Fast_IsoWater_20181103_173140	2206	6	1212.900	-20.3393	-38.2001	-300.7442
HKDS2004_Fast_IsoWater_20181103_173140	2206	7	1212.925	-20.1371	-37.8947	-297.2818
HKDS2004_Fast_IsoWater_20181103_173140	2206	8	1212.950	-19.8593	-37.3318	-292.7660
HKDS2004_Fast_IsoWater_20181103_173140	2206	9	1212.975	-19.7255	-36.9899	-288.9343
HKDS2004_Fast_IsoWater_20181103_173140	2206	10	1213.000	-19.4008	-36.4657	-284.6853
HKDS2004_Fast_IsoWater_20181103_173140	2206	11	1213.025	-19.2814	-36.2599	-282.0719
HKDS2004_Fast_IsoWater_20181103_173140	2206	12	1213.050	-19.3605	-36.4532	-284.7065
HKDS2004_Fast_IsoWater_20181103_173140	2206	13	1213.075	-19.7576	-37.1372	-290.7677
HKDS2004_Fast_IsoWater_20181103_173140	2206	14	1213.100	-19.9463	-37.6043	-295.1132
