depth	Ca	NH4	CH2O	H2O2	density	accumulation
8.076	32.12	10.84	9.82	0		32.12
8.078	32.61	11.1	9.81	0		32.61
8.08	32.66	11.5	9.66	0		32.66
8.082	32.9	12.02	9.66	64.54		32.9
8.084	32.64	12.55	9.57	102.41		32.64
8.086	32.33	12.85	9.59	103.45		32.33
8.088	30.99	12.68	9.41	101.9		30.99
8.09	28.9	12.05	9.5	103.66		28.9
8.092	27.22	10.99	9.5	105.37		27.22
8.094	25.49	9.73	9.55	106.32		25.49
8.096	23.54	8.5	9.6	107.22		23.54
8.098	21.74	7.4	9.57	107.87		21.74
8.1	20.03	6.49	9.58	108.58		20.03
8.102	18.26	5.84	9.57	109.21		18.26
8.104	16.62	5.47	9.5	110.18		16.62
8.106	15.05	5.2	9.44	0		15.05
8.108	13.91	4.93	9.42	0		13.91
8.11	12.39	4.53	9.41	0		12.39
8.112	11.15	4.11	9.26	0		11.15
8.114	9.78	3.68	9.23	0		9.78
8.116	8.66	3.27	9.15	0		8.66
8.118	8.12	2.96	9.12	0		8.12
8.12	7.54	2.7	9.14	0		7.54
8.122	7.23	2.53	9.07	0		7.23
8.124	6.76	2.45	8.98	0		6.76
8.126	6.37	2.45	8.98	0		6.37
8.128	6.54	2.47	8.89	0		6.54
8.13	6.47	2.48	8.86	0		6.47
8.132	6.02	2.46	8.96	0		6.02
8.134	5.88	2.38	8.99	0		5.88
8.136	5.98	2.26	9.2	0		5.98
8.138	5.84	2.15	9.34	0		5.84
8.14	5.29	2.05	9.64	0		5.29
8.142	7.03	1.99	9.91	0		7.03
8.144	8.35	1.98	10.33	0		8.35
8.146	9.74	1.99	10.79	0		9.74
8.148	12.21	2.09	11.04	0		12.21
8.15	13.3	2.11	10.88	0		13.3
8.152	10.62	1.84	10.41	0		10.62
8.154	8.54	1.75	10.06	0		8.54
8.156	5.78	1.73	9.79	0		5.78
8.158	5.41	1.73	9.52	0		5.41
8.16	5.16	1.74	9.19	0		5.16
8.162	4.55	1.82	9.04	0		4.55
8.164	4.25	1.97	8.83	0		4.25
8.166	3.37	2.19	8.7	0		3.37
8.168	3.65	2.51	8.52	0		3.65
8.17	3.57	2.92	8.44	0		3.57
8.172	3.7	3.34	8.32	0		3.7
8.174	4.01	3.8	8.18	0		4.01
8.176	3.87	4.19	8.19	0		3.87
8.178	4.19	4.48	8.18	0		4.19
8.18	4.13	4.73	8.07	0		4.13
8.182	4.39	4.89	8.07	0		4.39
8.184	4.47	5.02	8.05	0		4.47
8.186	4.54	5.1	8.04	0		4.54
8.188	4.6	5.16	8.03	0		4.6
8.19	4.34	5.21	8.1	0		4.34
8.192	4.79	5.31	7.97	0		4.79
8.194	4.47	5.53	8.03	0		4.47
8.196	4.73	5.92	7.96	146.72		4.73
8.198	4.31	6.45	7.97	147.62		4.31
8.2	4.41	7.16	7.96	148.76		4.41
8.202	4.43	7.98	7.89	149.42		4.43
8.204	4.55	9.05	8.02	149.79		4.55
8.206	4.73	9.66	8.05	150.06		4.73
8.208	4.89	10.14	8.04	150.27		4.89
8.21	4.65	10.39	8.04	150.3		4.65
8.212	4.62	10.53	8	149.85		4.62
8.214	4.65	10.61	8.07	149.62		4.65
8.216	4.51	10.64	8.08	149.88		4.51
8.218	4.81	10.65	8.07	149.49		4.81
8.22	4.63	10.65	8.05	151.28		4.63
8.222	4.73	10.63	8.1	151.86		4.73
8.224	4.74	10.5	8.08	152.43		4.74
8.226	5.13	10.28	8.07	152.81		5.13
8.228	5.08	9.99	8.12	153.71		5.08
8.23	4.94	9.64	8.01	153.89		4.94
8.232	4.94	9.27	8.09	153.8		4.94
8.234	4.82	8.98	8.15	153.51		4.82
8.236	4.86	8.79	8.09	153.56		4.86
8.238	4.53	8.66	8.16	151.23		4.53
8.24	4.67	8.58	8.14	150.29		4.67
8.242	4.47	8.54	8.27	152.6		4.47
8.244	4.26	8.53	8.22	153.01		4.26
8.246	3.65	8.58	8.23	153.47		3.65
8.248	4.13	8.7	8.3	153.79		4.13
8.25	4.18	8.84	8.26	154.13		4.18
8.252	4.3	9.01	8.34	154.34		4.3
8.254	4.26	9.11	8.33	154.46		4.26
8.256	2.66	9.15	8.39	155.05		2.66
8.258	3.47	9.15	8.43	155.78		3.47
8.26	4.62	9.19	8.47	155.53		4.62
8.262	5.84	9.26	8.52	156.22		5.84
8.264	7.09	9.33	8.57	156.49		7.09
8.266	8.15	9.39	8.6	156.65		8.15
8.268	8.84	9.32	8.62	157.08		8.84
8.27	9.62	9.15	8.64	156.98		9.62
8.272	10.64	8.85	8.63	156.3		10.64
8.274	11.3	8.42	8.69	154.9		11.3
8.276	11.86	7.91	8.67	153.47		11.86
8.278	12.4	7.4	8.53	151.83		12.4
8.28	12.87	7.04	8.51	149.99		12.87
8.282	13.23	6.84	8.43	148.91		13.23
8.284	13.67	6.89	8.38	147.98		13.67
8.286	14.27	7.07	8.35	146.07		14.27
8.288	14.5	7.33	8.38	145.97		14.5
8.29	14.75	7.44	8.29	144.77		14.75
8.292	15.22	7.4	8.16	143.58		15.22
8.294	15.22	7.17	8.13	142.59		15.22
8.296	15.45	6.69	8.11	141.79		15.45
8.298	15.13	6.22	7.94	140.58		15.13
8.3	14.82	5.78	7.89	139.31		14.82
8.302	15.09	5.37	7.85	138.29		15.09
8.304	14.18	5.02	7.83	137.33		14.18
8.306	14.29	4.68	7.85	136.35		14.29
8.308	14.44	4.38	7.85	135.35		14.44
8.31	14.93	4.15	7.78	47.52		14.93
8.312	14.9	4.05	7.91	0		14.9
8.314	15.15	4.11	8.01	0		15.15
8.316	15.89	4.31	8.03	0		15.89
8.318	16.33	4.65	8.09	0		16.33
8.32	16.7	5.13	8.13	0		16.7
8.322	17.39	5.71	8.19	0		17.39
8.324	17.91	6.22	8.47	0		17.91
8.326	18.54	6.55	8.19	0		18.54
8.328	19.53	6.6	8.17	0		19.53
8.33	19.99	6.49	8.25	0		19.99
8.332	20.15	6.2	8.16	0		20.15
8.334	20.28	5.87	8.14	0		20.28
8.336	20.46	5.56	8.18	0		20.46
8.338	20.86	5.28	8.26	0		20.86
8.34	20.76	5.04	8.43	117.53		20.76
8.342	21.27	4.85	8.63	116.77		21.27
8.344	22.12	4.72	9.14	117.74		22.12
8.346	22.69	4.63	9.68	117.07		22.69
