depth	ECM
9.415	19.64
9.425	19.315
9.435	22.488
9.445	20.779
9.455	18.956
9.465	17.448
9.475	15.94
9.485	14.432
9.495	22.407
9.505	18.729
9.515	28.169
9.525	29.178
9.535	28.152
9.545	20.193
9.555	20.193
9.565	15.864
9.575	19.705
9.585	17.394
9.595	15.701
9.605	13.504
9.615	9.516
9.625	8.133
9.635	7.303
9.645	8.231
9.655	10.2
9.665	13.797
9.675	16.043
9.685	15.701
9.695	14.139
9.705	11.274
9.715	21.805
9.725	12.869
9.735	15.75
9.745	22.098
9.755	28.364
9.765	36.502
9.775	39.725
9.785	39.106
9.795	37.869
9.805	29.91
9.815	23.465
9.825	26.59
9.835	28.934
9.845	21.626
9.855	21.072
9.865	16.515
9.875	16.434
9.885	15.652
9.895	18.566
9.905	23.66
9.915	27.029
9.925	30.398
9.935	28.917
9.945	31.229
9.955	30.545
9.965	35.1562
9.975	39.7673
9.981	44.3785
10.005	48.9897
10.015	53.6008
10.025	58.212
10.035	61.304
10.045	53.882
10.055	40.634
10.065	36.89
10.075	35.328
10.085	37.476
10.095	32.593
10.105	27.678
10.115	20.093
10.125	24.537
10.135	22.698
10.145	23.707
10.155	25.204
10.165	25.806
10.175	25.074
10.185	22.535
10.195	21.802
10.205	27.125
10.215	25.66
10.225	24.634
10.235	25.757
10.245	26.636
10.255	27.076
10.265	29.143
10.275	38.062
10.285	39.332
10.295	39.169
10.305	43.531
10.315	43.336
10.325	50.237
10.335	45.093
10.345	34.4
10.355	28.4675
10.365	22.535
10.375	26.392
10.385	20.045
10.395	15.796
10.405	18.336
10.415	15.308
10.425	14.625
10.435	21.607
10.445	19.947
10.455	18.482
10.465	19.898
10.475	23.056
10.485	22.535
10.495	19.41
10.505	16.822
10.515	23.088
10.525	27.613
10.535	13.892
10.545	12.232
10.555	21.754
10.565	21.851
10.575	21.021
10.585	21.509
10.595	27.759
10.605	26.832
10.615	25.611
10.625	21.705
10.635	25.416
10.645	25.367
10.655	24.618
10.665	23.218
10.675	23.951
10.685	21.07
10.695	24.911
10.705	29.175
10.715	27.564
10.725	34.937
10.735	34.644
10.745	31.47
10.755	26.295
10.765	29.761
10.775	28.459
10.785	25.513
10.795	33.228
10.805	32.056
10.815	32.252
10.825	37.574
10.835	43.482
10.845	41.822
10.855	39.299
10.865	35.425
10.875	33.619
10.885	31.519
10.895	31.584
10.905	24.439
10.915	26.832
10.925	24.683
10.935	21.916
10.945	24.586
10.955	25.757
10.965	28.956
10.975	32.155
10.9825	35.354
11.005	38.553
11.015	41.752
11.025	40.238
11.035	38.92
11.045	35.209
11.055	36.527
11.065	42.338
11.075	47.172
11.085	38.236
11.095	38.073
11.105	43.412
11.115	49.499
11.125	45.902
11.135	46.146
11.145	39.473
11.155	45.414
11.165	46.634
11.175	43.168
11.185	41.459
11.195	42.077
11.205	42.191
11.215	43.086
11.225	33.597
11.235	24.759
11.245	32.718
11.255	32.963
11.265	34.33
11.275	40.775
11.285	40.677
11.295	42.956
11.305	37.357
11.315	38.724
11.325	38.627
11.335	18.168
11.345	10.599
11.355	10.339
11.365	17.923
11.375	27.298
11.385	25.638
11.395	32.93
11.405	39.554
11.415	39.652
11.425	43.282
11.435	45.707
11.445	41.687
11.455	37.504
11.465	36.381
11.475	38.822
11.485	20.902
11.495	23.2215
11.505	25.541
11.515	27.982
11.525	24.955
11.535	29.284
11.545	27.591
11.555	31.205
11.565	30.131
11.575	28.715
11.585	33.028
11.595	37.162
11.605	36.429
11.615	31.986
11.625	26.517
11.635	26.761
11.645	29.3
11.655	28.861
11.665	27.591
11.675	31.742
11.685	31.351
11.695	23.05
11.705	5.782
11.715	1.371
11.725	1.127
11.735	2.201
11.745	15.124
11.755	19.828
11.765	22.318
11.775	22.172
11.785	22.562
11.795	25.931
11.805	24.564
11.815	22.66
11.825	23.295
11.835	22.416
11.845	6.335
11.855	28.324
11.865	36.088
11.875	36.185
11.885	42.679
11.895	45.121
11.905	45.658
11.915	42.972
11.925	41.41
11.935	42.077
11.945	42.533
11.955	44.73
11.965	45.218
11.975	36.966
11.985	36.8543
11.9915	36.7425
12.005	36.6307
12.015	36.519
12.025	34.273
12.035	33.443
12.045	35.005
12.055	30.22
12.065	29.618
12.075	43.257
12.085	37.446
12.095	36.226
12.105	44.624
12.115	46.122
12.125	44.282
12.135	44.136
12.145	33.817
12.155	31.782
12.165	22.163
12.175	21.675
12.185	22.847
12.195	17.411
12.205	22.017
12.215	23.823
12.225	22.505
12.235	23.368
12.245	23.0095
12.255	22.651
12.265	23.758
12.275	25.288
12.285	27.632
12.295	34.273
12.305	25.386
12.315	28.999
12.325	31.115
12.335	30.757
12.345	26.509
12.355	26.525
12.365	26.753
12.375	24.995
12.385	28.267
12.395	30.269
12.405	32.189
12.415	26.118
12.425	14.839
12.435	21.056
12.445	30.464
12.455	28.609
12.465	29.097
12.475	31.343
12.485	33.589
12.495	30.61
12.505	40.083
12.515	45.796
12.525	49.507
12.535	43.892
12.545	45.112
12.555	44.771
12.565	43.941
12.575	37.984
12.585	35.737
12.595	28.755
12.605	27.111
12.615	28.218
12.625	28.706
12.635	30.106
12.645	31.978
12.655	27.193
12.665	27.778
12.675	32.564
12.685	36.388
12.695	26.46
12.705	20.112
12.715	18.965
12.725	17.818
12.735	18.42
12.745	20.845
12.755	23.01
12.765	25.044
12.775	23.921
12.785	28.462
12.795	25.776
12.805	22.7
12.815	17.638
12.825	17.378
12.835	16.792
12.845	15.718
12.855	14.741
12.865	9.907
12.875	12.235
12.885	20.405
12.895	20.145
12.905	19.917
12.915	24.051
12.925	22.798
12.935	23.775
12.945	26.493
12.955	35.689
12.965	42.866
12.975	48.433
12.985	47.476
12.9925	46.519
13.005	45.562
13.015	44.605
13.025	43.648
13.035	38.733
13.045	29.863
13.055	29.423
13.065	29.488
13.075	29.423
13.085	29.228
13.095	21.074
13.105	19.885
13.115	31.767
13.125	37.366
13.135	41.24
13.145	39.84
13.155	41.142
13.165	39.286
13.175	36.454
13.185	29.976
13.195	25.224
13.205	28.837
13.215	24.671
13.225	23.124
13.235	28.837
13.245	31.718
13.255	31.181
13.265	30.497
13.275	34.013
13.285	27.405
13.295	29.57
13.305	34.859
13.315	36.21
13.325	32.792
13.335	28.251
13.345	18.648
13.355	18.4445
13.365	18.241
13.375	17.997
13.385	24.491
13.395	24.296
13.405	27.6
13.415	28.544
13.425	28.886
13.435	28.154
13.445	30.79
13.455	31.132
13.465	30.595
13.475	36.78
13.485	37.284
13.495	42.265
13.505	44.267
13.515	35.022
13.525	28.691
13.535	29.228
13.545	29.651
13.555	37.577
13.565	30.79
13.575	31.181
13.585	36.552
13.595	38.554
13.605	34.306
13.615	32.597
13.625	37.187
13.635	37.301
13.645	32.695
13.655	32.89
13.665	35.055
13.675	32.841
13.685	32.548
13.695	32.792
13.705	29.081
13.715	29.651
13.725	32.402
13.735	33.866
13.745	28.87
13.755	33.281
13.765	35.429
13.775	43.534
13.785	50.077
13.795	54.586
13.805	55.351
13.815	49.443
13.825	45.341
13.835	50.419
13.845	43.73
13.855	37.04
13.865	24.28
13.875	6.132
13.885	2.421
13.895	1.168
13.905	0.907
13.915	1.347
13.925	21.269
13.935	29.863
13.945	30.042
13.955	28.495
13.965	32.45
13.975	31.8282
13.9835	31.2064
14.005	30.5846
14.015	29.9628
14.025	29.341
14.035	29.178
14.045	23.416
14.055	30.008
14.065	34.386
14.075	51.981
14.085	47.244
14.095	48.172
14.105	47.879
14.115	48.514
14.125	49.637
14.135	49.1
14.145	50.89
14.155	45.047
14.165	42.98
14.175	39.432
14.185	38.65
14.195	33.231
14.205	31.473
14.215	32.01
14.225	28.934
14.235	26.183
14.245	28.104
14.255	30.74
14.265	33.914
14.275	31.652
14.285	34.061
14.295	32.791
14.305	33.377
14.315	31.131
14.325	38.162
14.335	47.098
14.345	39.481
14.355	33.637
14.365	26.997
14.375	20.779
14.385	15.278
14.395	15.766
14.405	20.047
14.415	22.195
14.425	23.318
14.435	26.688
14.445	29.503
14.455	34.842
14.465	33.963
14.475	37.641
14.485	35.281
14.495	21.43
14.505	25.467
14.515	38.211
14.525	42.996
14.535	53.885
14.545	49.49
14.555	52.371
14.565	49.197
14.575	46.951
14.585	50.695
14.595	44.852
14.605	41.775
14.615	43.484
14.625	43.045
14.635	38.65
14.645	38.699
14.655	42.41
14.665	43.338
14.675	46.121
14.685	44.949
14.695	41.141
14.705	34.386
14.715	33.914
14.725	34.744
14.735	35.851
14.745	44.168
14.755	44.461
14.765	38.9923
14.775	33.5237
14.785	28.055
14.795	10.428
14.805	1.883
14.815	2.973
14.825	16.775
14.835	19.607
14.845	16.971
14.855	18.484
14.865	22.195
14.875	28.136
14.885	29.178
14.895	31.326
14.905	31.668
14.915	32.596
14.925	30.512
14.935	31.033
14.945	30.496
14.955	28.592
14.965	30.106
14.975	27.6508
14.983	25.1956
15.005	22.7404
15.015	20.2852
15.025	17.83
