depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F
64.555	0.775805	15.2315	-6.98991	0	115.403	95.9027	92.7917	12.3452	11.7365	2.96505	1.55184	2.96824	0.622961
64.57	0.472576	14.6808	3.51412	0	83.8046	124.81	123.247	6.20374	7.19894	4.12967	1.37574	2.05035	0.761247
64.585	0.591557	28.2644	3.41954	0	63.6863	201.806	198.328	13.8027	6.50248	5.38226	4.3661	14.9409	1.42637
64.6	0.55489	38.1701	-2.83089	0	60.7086	125.138	119.397	22.7783	14.4483	6.20378	4.02453	5.13961	0.740153
64.615	0.72762	32.2884	-32.7486	0	82.8342	85.2691	76.164	36.1317	6.76647	8.20166	4.67314	7.12749	2.45729
64.63	0.416093	23.9633	7.99701	0.179694	145.851	59.9595	57.7242	8.87016	57.9671	2.66	0.739209	8.20623	0.70523
64.645	1.29302	9.0245	1.23252	0	90	22.1122	21.0213	4.32888	11.8811	2.1075	0.342084	3.62422	0.697211
64.66	0.365893	16.191	3.97836	0	83.3445	16.877	15.1672	6.78477	5.05248	7.20949	0.456017	2.02985	0.415274
64.675	0.783081	18.6272	-2.88496	2.09222	80.439	66.04	63.0282	11.9512	2.68232	0.943805	9.54074	44.4973	1.94844
64.69	1.37529	21.4021	-5.92185	0	67.4424	37.8745	34.0491	15.18	2.01046	0.671837	1.09233	55.098	2.49361
64.705	0.838441	22	-1.34114	1.68958	55.7176	16.955	13.6872	12.9673	7.12262	0.849467	1.04374	13.9635	2.80386

