depth	d18O
46.1944	-33.7176
46.2222	-33.4839
46.25	-33.2587
46.2778	-33.4749
46.3056	
46.3333	-33.4422
46.3611	-33.6659
46.3889	-31.754
46.4167	-34.0152
46.4444	-34.2491
46.4722	-34.2324
46.5	-34.4303
46.5278	-32.5601
46.5556	-34.481
46.5833	-34.4295
46.6111	-34.4125
46.6389	-34.339
46.6667	-34.4885
46.6944	-34.7942
46.7222	-34.872
46.75	-35.1747
46.7778	-35.2329
46.8056	-35.5008
46.8333	-35.5421
46.8611	-35.4173
46.8889	-35.4843
46.9167	-35.363
46.9444	-35.1717
46.9722	-34.9827
47	-39.0401
47.0294	-39.0212
47.0588	-39.0361
47.0882	-39.0321
47.1176	-38.7568
47.147	-38.3557
47.1764	-38.3028
47.2058	-37.9541
47.2352	-37.7651
47.2645	-37.4451
47.2939	-37.2833
47.3233	-37.107
47.3527	-36.9155
47.3821	-36.8509
47.4115	-36.6019
47.4409	-36.5935
47.4703	-36.4714
47.4997	-36.2725
47.5291	-36.2414
47.5585	-34.7174
47.5879	-35.9157
47.6173	-35.9461
47.6467	-35.8986
47.6761	-35.5323
47.7055	-35.4846
47.7348	-35.4255
47.7642	-35.4663
47.7936	-35.4425
47.823	-35.3677
47.8524	-33.2061
47.8818	-35.1015
47.9112	-34.9215
47.9406	-35.0109
47.97	-35.0072
48	-38.5341
48.0278	
48.0556	-39.9746
48.0833	-40.1739
48.1111	-40.3516
48.1389	-40.0553
48.1667	-38.1702
48.1944	-38.9091
48.2222	-38.3583
48.25	-37.9253
48.2778	-37.2238
48.3056	-36.408
48.3333	-36.5042
48.3611	-36.3098
48.3889	-32.8841
48.4167	-36.3236
48.4444	-35.9927
48.4722	-36.3489
48.5	-36.5562
48.5278	-36.4915
48.5556	-36.5827
48.5833	-36.655
48.6111	-36.6551
48.6389	-36.7994
48.6667	-36.9482
48.6944	-36.8595
48.7222	-37.106
48.75	-37.2517
48.7778	-37.5065
48.8056	-37.8289
48.8333	-37.7598
48.8611	-38.0561
48.8889	-38.1878
48.9167	-38.153
48.9444	-38.5518
48.9722	-38.8571
49	-34.7435
49.0278	-34.9213
49.0556	-35.1597
49.0833	-35.0735
49.1111	-35.2724
49.1389	-35.3655
49.1667	-35.5189
49.1944	-35.4798
49.2222	-35.4444
49.25	-35.2098
49.2778	-35.1481
49.3056	-35.1773
49.3333	-34.8952
49.3611	-35.1118
49.3889	-35.2991
49.4167	-35.394
49.4444	-35.4798
49.4722	-35.5064
49.5	-35.4767
49.5278	-35.681
49.5556	-35.8435
49.5833	-35.8579
49.6111	
49.6389	-35.49
49.6667	-35.256
49.6944	-34.9821
49.7222	-34.9999
49.75	-34.9474
49.7778	-34.9298
49.8056	-35.0386
49.8333	-35.286
49.8611	-35.7616
49.8889	-36.3741
49.9167	-36.6424
49.9444	-37.42
49.9722	-37.9973
50	-36.6163
50.028	-36.6607
50.056	-36.711
50.084	-36.4122
50.112	-36.2911
50.14	-36.0365
50.168	
50.196	-35.8686
50.224	-35.7567
50.252	-35.7076
50.28	-35.7946
50.308	-35.9375
50.336	-36.155
50.364	-36.222
50.392	-36.3118
50.42	-36.3224
50.448	-36.4447
50.476	-36.4881
50.504	-36.4052
50.532	-36.1583
50.56	-36.1908
50.588	-35.3187
50.616	-35.622
50.644	-35.7401
50.672	-35.6498
50.7	-35.7195
50.728	-35.7155
50.756	-35.5522
50.784	-35.5305
50.812	-35.3173
50.84	-35.1523
50.868	-35.1672
50.896	-35.0697
50.924	-34.9001
50.952	-34.8515
50.98	-34.8428
51	-36.7586
51.0277	-37.1143
51.0554	-37.282
51.0831	-37.7375
51.1109	-38.1718
51.1386	-38.2923
51.1663	-38.3183
51.194	-38.4784
51.2217	-38.297
51.2494	-38.1749
51.2771	-37.9968
51.3049	-37.7011
51.3326	-37.2486
51.3603	-37.1187
51.388	-36.9368
51.4157	-36.8066
51.4434	-36.9414
51.4711	-36.9676
51.4989	-36.9626
51.5266	-37.265
51.5543	-37.4519
51.582	-37.3218
51.6097	-37.4534
51.6374	-37.1667
51.6651	-36.8309
51.6929	
51.7206	-36.3837
