depth	cond
21.11	368
21.113	362
21.117	364
21.12	362
21.123	366
21.127	372
21.13	386
21.133	390
21.137	390
21.14	388
21.143	390
21.147	388
21.15	374
21.153	370
21.157	364
21.16	360
21.163	352
21.167	344
21.17	340
21.173	344
21.177	342
21.18	344
21.183	334
21.187	332
21.19	328
21.193	324
21.197	322
21.2	318
21.203	314
21.207	314
21.21	312
21.213	314
21.217	316
21.22	320
21.223	318
21.227	312
21.23	310
21.233	306
21.237	306
21.24	302
21.243	294
21.247	282
21.25	278
21.253	272
21.257	272
21.26	266
21.263	268
21.267	268
21.27	270
21.273	274
21.277	276
21.28	284
21.283	284
21.287	290
21.29	300
21.293	300
21.297	300
21.3	306
21.303	314
21.307	316
21.31	330
21.313	336
21.317	338
21.32	346
21.323	358
21.327	370
21.33	374
21.333	374
21.337	376
21.34	374
21.343	372
21.347	376
21.35	378
21.353	376
21.357	378
21.36	374
21.363	370
21.367	368
21.37	364
21.373	352
21.377	346
21.38	342
21.383	340
21.387	334
21.39	316
21.393	278
21.397	278
21.4	278
21.403	286
21.407	292
21.41	314
21.413	334
21.417	330
21.42	328
21.423	328
21.427	332
21.43	334
21.433	338
21.437	340
21.44	342
21.443	344
21.447	348
21.45	352
21.453	356
21.457	360
21.46	362
21.463	362
21.467	358
21.47	356
21.473	356
21.477	356
21.48	360
21.483	370
21.487	380
21.49	398
21.493	410
21.497	412
21.5	420
21.503	372
21.507	384
21.51	394
21.513	408
21.517	410
21.52	410
21.523	412
21.527	414
21.53	412
21.533	414
21.537	410
21.54	408
21.543	408
21.547	408
21.55	398
21.553	398
21.557	398
21.56	404
21.563	402
21.567	402
21.57	404
21.573	406
21.577	410
21.58	406
21.583	402
21.587	396
21.59	386
21.593	388
21.597	382
21.6	388
21.603	390
21.607	386
21.61	378
21.613	366
21.617	366
21.62	366
21.623	366
21.627	350
21.63	348
21.633	344
21.637	344
21.64	344
21.643	340
21.647	336
21.65	336
21.653	332
21.657	334
21.66	336
21.663	334
21.667	332
21.67	332
21.673	330
21.677	330
21.68	328
21.683	338
21.687	354
21.69	370
21.693	376
21.697	378
21.7	380
21.703	392
21.707	410
21.71	414
21.713	416
21.717	418
21.72	418
21.723	414
21.727	414
21.73	418
21.733	416
21.737	410
21.74	410
21.743	406
21.747	400
21.75	400
21.753	396
21.757	390
21.76	390
21.763	390
21.767	382
21.77	372
21.773	372
21.777	368
21.78	366
21.783	356
21.787	350
21.79	336
21.793	332
21.797	330
21.8	326
21.803	322
21.807	322
21.81	320
21.813	314
21.817	312
21.82	314
21.823	316
21.827	316
21.83	316
21.833	316
21.837	322
21.84	328
21.843	332
21.847	334
21.85	338
21.853	338
21.857	340
21.86	338
21.863	344
21.867	344
21.87	344
21.873	348
21.877	348
21.88	348
21.883	354
21.887	354
21.89	356
21.893	362
21.897	358
21.9	352
21.903	358
