fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
3.944061426365983891e+00,7.388131561992007157e+00,3.949577596193069251e+00,2.535457468575456064e-01,1.353522188403447069e-01,2.531916326859568467e-01,2.140298661279490533e-01,5.563368575630018437e-02,1.958884999999999934e+02
3.888007753987336113e+00,7.811476245506766780e+00,3.910036126531173384e+00,2.572011331444626347e-01,1.280167753918741436e-01,2.557521126760431418e-01,2.136566737374599734e-01,6.055944218457971762e-02,1.998890000000000100e+02
3.901728858005852452e+00,7.758934441626707645e+00,3.857453920610041553e+00,2.562966408975669852e-01,1.288836769434468787e-01,2.592383527012692701e-01,2.148062235140943965e-01,6.076828352560693230e-02,2.038830000000000098e+02
3.702146646446562439e+00,1.729439684418433743e+01,3.762928158552401481e+00,2.701135572141183938e-01,5.782219576719579979e-02,2.657504894764454173e-01,1.978954141525865185e-01,9.906273760148802399e-02,2.078814999999999884e+02
3.961466735813949924e+00,-1.000000000000000000e+00,3.955949372672147746e+00,2.524317548748855611e-01,-1.000000000000000000e+00,2.527838214786162219e-01,2.526077881767508915e-01,1.760333018653303938e-04,2.118845000000000027e+02
3.845052112024216928e+00,-1.000000000000000000e+00,3.883612806557410924e+00,2.600744985673426601e-01,-1.000000000000000000e+00,2.574921985815676329e-01,2.587833485744551743e-01,1.291149992887513642e-03,2.158919999999999959e+02
3.663003663001328292e+00,-1.000000000000000000e+00,3.828003828001388165e+00,2.730000000001739924e-01,-1.000000000000000000e+00,2.612327586208561536e-01,2.671163793105150730e-01,5.883620689658919378e-03,2.198924999999999841e+02
3.464457638880391155e+00,-1.000000000000000000e+00,3.728835964263950142e+00,2.886454689984808142e-01,-1.000000000000000000e+00,2.681802067947480772e-01,2.784128378966144179e-01,1.023263110186636848e-02,2.238985000000000127e+02
3.564003564004377900e+00,-1.000000000000000000e+00,3.767503767504627898e+00,2.805833333332692359e-01,-1.000000000000000000e+00,2.654277372262167645e-01,2.730055352797430279e-01,7.577798053526235700e-03,2.278865000000000123e+02
3.764198326004476236e+00,-1.000000000000000000e+00,3.775285802664283263e+00,2.656608162996167422e-01,-1.000000000000000000e+00,2.648806083222316476e-01,2.652707123109241949e-01,3.901039886925472544e-04,2.318910000000000196e+02
3.907663659577392590e+00,-1.000000000000000000e+00,3.708406022545117864e+00,2.559073879219554981e-01,-1.000000000000000000e+00,2.696576356311948808e-01,2.627825117765751894e-01,6.875123854619691333e-03,2.358884999999999934e+02
3.786334876410931916e+00,-1.000000000000000000e+00,3.830684333235657046e+00,2.641076483303295142e-01,-1.000000000000000000e+00,2.610499620978510293e-01,2.625788052140902717e-01,1.528843116239242406e-03,2.398910000000000196e+02
3.591503591503039328e+00,-1.000000000000000000e+00,3.943503943503337439e+00,2.784349157733965741e-01,-1.000000000000000000e+00,2.535815899581979616e-01,2.660082528657972678e-01,1.242666290759930625e-02,2.438874999999999886e+02
3.470392777979874221e+00,-1.000000000000000000e+00,3.940111545700080153e+00,2.881518214148955370e-01,-1.000000000000000000e+00,2.537999212462193621e-01,2.709758713305574496e-01,1.717595008433808745e-02,2.478990000000000009e+02
3.756785383292704505e+00,-1.000000000000000000e+00,4.098812833754007734e+00,2.661850220263398126e-01,-1.000000000000000000e+00,2.439730820995120175e-01,2.550790520629259150e-01,1.110596996341389753e-02,2.518830000000000098e+02
3.745359609600560358e+00,-1.000000000000000000e+00,4.208021679021805461e+00,2.669970588235849318e-01,-1.000000000000000000e+00,2.376413612565939637e-01,2.523192100400894478e-01,1.467784878349548405e-02,2.558934999999999889e+02
3.724220120720510785e+00,-1.000000000000000000e+00,4.612515586551625191e+00,2.685125925925489487e-01,-1.000000000000000000e+00,2.168014354066633287e-01,2.426570139996061526e-01,2.585557859294281002e-02,2.598865000000000123e+02
3.707410650559429310e+00,-1.000000000000000000e+00,4.608018602930796348e+00,2.697300337768369638e-01,-1.000000000000000000e+00,2.170130127868795944e-01,2.433715232818582930e-01,2.635851049497868470e-02,2.638845000000000027e+02
3.962286356017627575e+00,-1.000000000000000000e+00,4.510144385690455948e+00,2.523795380112479614e-01,-1.000000000000000000e+00,2.217223916761393021e-01,2.370509648436936456e-01,1.532857316755432964e-02,2.678870000000000005e+02
4.059308870993795892e+00,-1.000000000000000000e+00,4.510955176857420312e+00,2.463473541384351428e-01,-1.000000000000000000e+00,2.216825396825722883e-01,2.340149469105037294e-01,1.233240722793142730e-02,2.718944999999999936e+02
4.211271348784573654e+00,-1.000000000000000000e+00,4.471363008959179375e+00,2.374579829173469603e-01,-1.000000000000000000e+00,2.236454517327983171e-01,2.305517173250726248e-01,6.906265592274321574e-03,2.758840000000000146e+02
4.094827586199952130e+00,-1.000000000000000000e+00,4.459549071610473980e+00,2.442105263162036299e-01,-1.000000000000000000e+00,2.242379182159936757e-01,2.342242222660986528e-01,9.986304050104977126e-03,2.798899999999999864e+02
4.143371744614324115e+00,-1.000000000000000000e+00,4.490951531446151002e+00,2.413493313265528961e-01,-1.000000000000000000e+00,2.226699604744978300e-01,2.320096459005253631e-01,9.339685426027533044e-03,2.838894999999999982e+02
