,secs0,lMean0,lStd0,secs1,lMean1,lStd1,secs2,lMean2,lStd2,secs3,lMean3,lStd3,secs4,lMean4,lStd4,secs5,lMean5,lStd5,secs6,lMean6,lStd6,secs7,lMean7,lStd7,secs8,lMean8,lStd8,secs9,lMean9,lStd9
22,25.6535,0.4609509796987334,0.041531297058331786,35.4525,0.40940505417099077,0.0008511161367200717,45.2025,0.38627482704487043,0.003694387153065602,55.0095,0.36084460112180733,0.028751383769624977,64.77199999999999,0.3155766446893441,0.0010962403341501469,74.55700000000002,0.3080192060469186,0.003609745045991115,84.3135,0.30531517051095697,0.0013098842551911203,94.10499999999999,0.31413220486228244,0.006066014342111166,103.874,0.31284396039695705,0.0035775504463279907,113.6495,0.2986385409835455,0.0028787888266450495
23,26.684,0.46255937580065454,0.08125451748189401,36.894999999999996,0.4293118456446119,0.010734571583333036,47.0955,0.39761363332722843,0.004615448572786275,57.327000000000005,0.34441152665838143,0.00195850680972722,67.54599999999999,0.32005465260743243,0.0005904141011414087,77.76750000000001,0.3167244494070487,0.0032978270509854053,87.989,0.29922354079208874,0.0009665284820544216,98.2055,0.3169421587726739,0.014936760130549249,108.4385,0.2821097206763448,0.0010232519359284972,118.662,0.30534446356154793,0.000619878008973509
24,27.654,0.4851358040340928,0.09681925509999982,38.322,0.41335559788104526,0.0012028029916633374,48.9865,0.40039961915395955,0.003751121667319322,59.658500000000004,0.3373367166806757,0.000830050710027436,70.327,0.3102949509336274,0.002742911489255965,80.99999999999999,0.317359195382826,0.0023860949182596108,91.648,0.3037370583026886,0.01106896335207898,102.326,0.3222808060035241,0.012279705640168904,112.987,0.28428411025525646,0.0008714765538632547,123.66050000000001,0.30746147736210144,0.014129230402047844
25,28.6685,0.4967607745908957,0.12724300898266422,39.782,0.41741779057762124,0.002430416894057691,50.879000000000005,0.360420857328484,0.001475386145743079,62.00200000000001,0.3337878466616027,0.00273118165693205,73.11500000000001,0.3049297353399949,0.0017443793994638415,84.2175,0.3034612013387879,0.0017866770426878424,95.328,0.3073049661018779,0.00350041370845107,106.4505,0.3334107945086416,0.006485673125626931,117.5415,0.2859357763587896,0.0022880063213400856,,,
26,29.649,0.46943721765061214,0.09283402562967513,41.2275,0.42423191217050676,0.005220775078301662,52.7705,0.3756344005405059,0.005584730325066578,64.3195,0.31554907393369297,0.000836753989154396,75.87299999999999,0.3064607004597055,0.0008794918765696757,87.44200000000001,0.29965967660316833,0.0024700173170028065,98.996,0.3139162697718529,0.006825099356649443,110.54599999999999,0.30295679051316804,0.0010389050925596688,122.1035,0.29458306807154183,0.0017251670205178096,,,
27,30.6475,0.4019503182156665,0.002633606460880281,42.6575,0.4088527068781371,0.004011785262354528,54.6635,0.36186813546791613,0.02473001921527422,66.6725,0.32534745941474025,0.001507053369116575,78.66149999999999,0.319188677419929,0.005217407877330499,90.6565,0.304556017261749,0.011422223710404097,102.6545,0.3165752193802589,0.016320611782229055,114.6515,0.2983107735876494,0.0030923425028078913,,,,,,
28,31.6635,0.40195245567543875,0.004030425718979927,44.121,0.41507535083864716,0.02244426398673715,56.536500000000004,0.34726106582358557,0.0029319266076353085,69.001,0.31863680624292035,0.0024160666307212393,81.42349999999999,0.3139315613456602,0.0031552816642304218,93.8825,0.30796189182540884,0.011367077126132167,106.342,0.30804411972127466,0.03586250381487475,118.7685,0.3103612730541815,0.0012226256657604077,,,,,,
29,32.671,0.40219286606197713,0.0034139184702881823,45.546499999999995,0.3833633983189377,0.002763413315226269,58.432500000000005,0.3252054355606176,0.014216473862146833,71.326,0.3154662116679811,0.0026322380965616786,84.2175,0.3034612013387879,0.0017866770426878424,97.101,0.32092671325097233,0.01430215423207613,110.00649999999999,0.29906157988142423,0.0016364301809020654,122.8825,0.30116012175298584,0.0019707454184049815,,,,,,
30,33.6715,0.39881538010197976,0.0026330515873305227,47.004000000000005,0.39123006300139357,0.0032555709898095834,60.3095,0.3285205464447127,0.0025487294864171618,73.669,0.30750773146534854,0.0023820796863867812,86.98899999999999,0.30245271166334825,0.002880444992768884,100.33449999999999,0.321828926079609,0.014850186240238846,113.6495,0.30335162990634007,0.00033269536071872663,,,,,,,,,
31,34.6635,0.4036401074017128,0.0008427372681495442,48.426,0.3926286484711557,0.0039859216583347555,62.210499999999996,0.32979659456897,0.0035874934385380646,75.99050000000001,0.30955444023845596,0.0018506215946113196,89.77600000000001,0.3061781227014008,0.0008914173063158544,103.54650000000001,0.316779107443439,0.005289979843327797,117.3275,0.2946725485503821,0.02814951104503266,,,,,,,,,
32,35.649,0.40968446853848617,0.004221089985676838,49.88,0.4012031321742773,0.0024352437334136333,64.0935,0.32798884301018205,0.0031622514995958864,78.3315,0.311675779015736,0.006603874885313708,92.54249999999999,0.31647373872230405,0.001900518842310866,106.7765,0.31119349220376813,0.022405192411154146,121.0055,0.29599337808795323,0.0010695734084012753,,,,,,,,,
33,36.6515,0.4328882403949829,0.004675513158108254,51.320499999999996,0.3661500724078806,0.005139729566230111,66.0,0.32497759766815015,0.0011785713896246008,80.65299999999999,0.3147755362049176,0.0009196761858611373,95.328,0.31735267023079977,0.0037012445816593854,110.00649999999999,0.2904410613998197,0.013202809702819037,124.667,0.27778704030909357,0.03197249429341767,,,,,,,,,
34,37.671,0.4173622919285118,0.00480219520539921,52.7705,0.3783959751401212,0.0038565381267036585,67.89099999999999,0.31376501783207916,0.0011196505984511027,82.996,0.3093687684331401,0.0029834529774497576,98.095,0.3278394369646906,0.0002075324060968922,113.22,0.296004033885416,0.01351829145706496,,,,,,,,,,,,
35,38.658500000000004,0.4216425118189235,0.002450126884123951,54.209,0.39244880582630265,0.0038856943378562164,69.7655,0.3176455408606032,0.0006084026044027109,85.321,0.30285984688634165,0.0029910092244374133,100.8835,0.32837037100858685,0.0010587704743262928,116.4365,0.2955000773938203,0.018567355329782008,,,,,,,,,,,,
36,39.638999999999996,0.4124283233990325,0.004463764398895814,55.6565,0.36179923056298136,0.03248627265947655,71.66499999999999,0.3115655624038074,0.0019689574351399986,87.6685,0.3027111247402922,0.0011680310092001224,103.656,0.3162981811666436,0.0025702233387345985,119.65700000000001,0.29129779986082327,0.028524853403915824,,,,,,,,,,,,
37,40.6605,0.41768953206215986,0.00441496225706179,57.0925,0.34678022810880765,0.0008454379730995651,73.55049999999999,0.3053549665606003,0.0008364201980999482,89.98249999999999,0.30221154920497817,0.009605489496938832,106.4505,0.3261343110156405,0.0008923389074504156,122.8825,0.2857300247694588,0.02219398744254545,,,,,,,,,,,,
38,41.650999999999996,0.42516546132634786,0.0035666005863649974,58.5595,0.3336359969378022,0.0008020854979354777,75.44149999999999,0.30718348705942533,0.0011459038352157798,92.319,0.3122915652669161,0.008284095947248769,109.21350000000001,0.3367504677626718,0.00047497563102963554,126.114,0.261907676480772,0.011704212820325363,,,,,,,,,,,,
39,42.6575,0.4088527068781371,0.004011785262354528,59.995,0.32713670454130656,0.003077101793415048,77.3195,0.3126598810381129,0.003660782987526472,94.661,0.31561750128312666,0.0031677186922370263,111.983,0.3143474835831937,0.0021143251124546626,,,,,,,,,,,,,,,
40,43.658,0.412713881600862,0.024028887059415905,61.44,0.3298681013897962,0.0024653613852417106,79.2045,0.3174804380046429,0.0008193959502137623,96.99000000000001,0.3190632316685272,0.012638963710479923,114.7585,0.29947786741512056,0.001316519029059926,,,,,,,,,,,,,,,
