iceDepth	density	weDepth	d18O
76.25	823.529411764701	50.95	-34.0
76.42	882.3529411764533	51.09	-33.2
76.59	823.529411764701	51.24	-31.7
76.76	823.529411764701	51.38	-32.5
76.93	882.3529411765272	51.52	-32.6
77.1	823.529411764701	51.67	-34.6
77.27	882.3529411764533	51.81	-35.5
77.44	823.529411764701	51.96	-35.3
77.61	882.3529411764533	52.1	-34.3
77.78	823.529411764701	52.25	-34.6
77.95	823.529411764701	52.39	-34.7
78.12	882.3529411764533	52.53	-34.9
78.29	823.5294117647697	52.68	-35.7
78.46	882.3529411764533	52.82	-34.8
78.63	874.9999999999445	52.97	-35.3
78.79	882.3529411765272	53.11	-35.8
78.96	823.529411764701	53.26	-34.1
79.13	823.529411764701	53.4	-34.1
79.3	882.3529411764533	53.54	-34.6
79.47	823.529411764701	53.69	-34.4
79.64	882.3529411764533	53.83	-33.6
79.81	823.529411764701	53.98	-33.5
79.98	875.0000000000222	54.12	-34.1
80.14	882.3529411764533	54.26	-34.6
80.31	823.529411764701	54.41	-35.2
80.48	882.3529411764952	54.55	-35.0
80.65	823.5294117647697	54.7	-35.6
80.82	937.4999999999278	54.84	-35.1
80.98	823.529411764701	54.99	-34.1
81.15	823.5294117647697	55.13	-33.2
81.32	882.3529411764533	55.27	-33.7
81.49	823.529411764701	55.42	-34.8
81.66	937.5000000000111	55.56	-34.8
81.82	823.529411764701	55.71	-34.1
81.99	823.529411764701	55.85	-34.1
82.16	882.3529411764533	55.99	-33.7
82.33	875.0000000000222	56.14	-34.5
82.49	882.3529411764533	56.28	-36.0
82.66	823.529411764701	56.43	-35.2
82.83	882.3529411764533	56.57	-34.1
83.0	875.0000000000222	56.72	-33.6
83.16	823.529411764701	56.86	-35.1
83.33	882.3529411764533	57.0	-34.4
83.5	823.529411764701	57.15	-35.0
83.67	937.5000000000111	57.29	-35.0
83.83	823.529411764701	57.44	-34.0
84.0	823.529411764701	57.58	-34.2
84.17	937.5000000000111	57.72	-34.0
84.33	823.529411764701	57.87	-34.7
84.5	882.3529411764533	58.01	-33.6
84.67	875.0000000000222	58.16	-33.4
84.83	882.3529411764952	58.3	-34.7
85.0	823.529411764701	58.45	-34.9
85.17	874.9999999999778	58.59	-34.7
85.33	882.3529411764952	58.73	-33.9
85.5	823.529411764701	58.88	-33.1
85.67	937.5000000000111	59.02	-35.1
85.83	823.529411764701	59.17	-35.4
86.0	882.3529411764533	59.31	-34.6
86.17	875.0000000000222	59.46	-35.1
86.33	823.529411764701	59.6	-34.8
86.5	882.3529411764533	59.74	-34.3
86.67	875.0000000000222	59.89	-33.0
86.83	882.3529411764533	60.03	-32.8
87.0	875.0000000000222	60.18	-33.4
87.16	823.529411764701	60.32	-33.4
87.33	937.5000000000111	60.46	-33.4
87.49	823.529411764701	60.61	-33.1
87.66	882.3529411764533	60.75	-33.9
87.83	875.0000000000222	60.9	-36.0
87.99	882.3529411764533	61.04	-35.1
88.16	875.0000000000222	61.19	-33.5
88.32	823.529411764701	61.33	-34.0
88.49	882.3529411764533	61.47	-33.6
88.66	875.0000000000222	61.62	-34.7
88.82	882.3529411764533	61.76	-34.5
88.99	874.9999999999445	61.91	-32.0
89.15	823.5294117647697	62.05	-32.9
89.32	937.4999999999723	62.19	-33.5
89.48	823.5294117646592	62.34	-34.5
89.65	937.5000000000555	62.48	-34.9
89.81	823.529411764701	62.63	-34.4
89.98	937.5000000000111	62.77	-34.6
90.14	823.529411764701	62.92	-36.5
90.31	875.0000000000222	63.06	-35.0
90.47	882.3529411764533	63.2	-33.9
90.64	875.0000000000222	63.35	-34.2
90.8	882.3529411764533	63.49	-34.2
90.97	875.0000000000222	63.64	-32.4
91.13	823.529411764701	63.78	-33.0
91.3	937.4999999999667	63.92	-34.3
91.46	823.529411764701	64.07	-33.1
91.63	937.4999999999723	64.21	-33.4
91.79	823.5294117647697	64.36	-32.5
91.96	937.4999999999723	64.5	-32.7
92.12	823.529411764701	64.65	-35.2
92.29	875.0000000000222	64.79	-35.7
92.45	882.3529411764116	64.93	-36.5
92.62	875.0000000000222	65.08	-36.1
92.78	937.5000000000555	65.22	-35.5
92.94	823.529411764701	65.37	-34.6
93.11	937.4999999999667	65.51	-33.0
93.27	823.529411764701	65.66	-34.0
93.44	875.0000000000222	65.8	-34.7
93.6	882.3529411764952	65.94	-36.0
93.77	874.9999999999445	66.09	-35.1
93.93	937.4999999999667	66.23	-34.8
94.09	823.529411764701	66.38	-34.4
94.26	875.0000000000222	66.52	-33.5
