Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20180724_073105	1007	18	553.750	-19.1815	-36.1354	-279.2264
HKDS2004_Fast_IsoWater_20180724_073105	1007	19	553.775	-18.9094	-35.6999	-277.3307
HKDS2004_Fast_IsoWater_20180724_073105	1007	20	553.800	-19.2257	-36.2118	-279.7588
HKDS2004_Fast_IsoWater_20180724_073105	1007	21	553.825	-19.2012	-36.1842	-279.9221
HKDS2004_Fast_IsoWater_20180724_073105	1007	22	553.850	-19.2435	-36.1964	-280.2590
HKDS2004_Fast_IsoWater_20180724_073105	1008	1	553.875	-19.1580	-36.1239	-280.2596
HKDS2004_Fast_IsoWater_20180724_073105	1008	2	553.900	-19.1640	-36.0853	-279.9110
HKDS2004_Fast_IsoWater_20180724_073105	1008	3	553.925	-19.1755	-36.1437	-279.5951
HKDS2004_Fast_IsoWater_20180724_073105	1008	4	553.950	-19.1205	-36.0244	-279.3348
HKDS2004_Fast_IsoWater_20180724_073105	1008	5	553.975	-19.2225	-36.1572	-280.2434
HKDS2004_Fast_IsoWater_20180725_071416	1008	6	554.000	-19.2980	-36.3645	-282.0175
HKDS2004_Fast_IsoWater_20180725_071416	1008	7	554.025	-19.5122	-36.6633	-284.1755
HKDS2004_Fast_IsoWater_20180725_071416	1008	8	554.050	-19.5581	-36.8428	-286.5020
HKDS2004_Fast_IsoWater_20180725_071416	1008	9	554.075	-19.6933	-37.1435	-289.3522
HKDS2004_Fast_IsoWater_20180725_071416	1008	10	554.100	-19.8076	-37.3696	-290.4161
HKDS2004_Fast_IsoWater_20180725_071416	1008	11	554.125	-19.7676	-37.2135	-289.5829
HKDS2004_Fast_IsoWater_20180725_071416	1008	12	554.150	-19.6668	-37.1201	-288.1839
HKDS2004_Fast_IsoWater_20180725_071416	1008	13	554.175	-19.5978	-36.9768	-286.5061
HKDS2004_Fast_IsoWater_20180725_071416	1008	14	554.200	-19.6296	-36.8843	-285.2000
HKDS2004_Fast_IsoWater_20180725_071416	1008	15	554.225	-19.4804	-36.7062	-284.2336
HKDS2004_Fast_IsoWater_20180725_071416	1008	16	554.250	-19.4980	-36.5917	-283.7765
HKDS2004_Fast_IsoWater_20180725_071416	1008	17	554.275	-19.3900	-36.5721	-283.6810
HKDS2004_Fast_IsoWater_20180725_071416	1008	18	554.300	-19.4854	-36.6134	-284.0981
HKDS2004_Fast_IsoWater_20180725_071416	1008	19	554.325	-19.4038	-36.5974	-285.2099
HKDS2004_Fast_IsoWater_20180725_071416	1008	20	554.350	-19.4974	-36.7324	-285.9938
HKDS2004_Fast_IsoWater_20180725_071416	1008	21	554.375	-19.5068	-36.6748	-285.6714
