depth	cond
5.5	330.49
5.503	118.494
5.507	118.175
5.51	118.851
5.513	121.388
5.517	122.686
5.52	122.59
5.523	123.381
5.527	128.326
5.53	397.447
5.533	427.108
5.537	198.338
5.54	343.444
5.543	320.111
5.547	296.36
5.55	274.901
5.553	243.945
5.557	219.945
5.56	192.338
5.563	179.086
5.567	170.143
5.57	157.589
5.573	149.681
5.577	150.974
5.58	163.09
5.583	170.986
5.587	173.102
5.59	174.424
5.593	176.14
5.597	178.246
5.6	183.145
5.603	189.567
5.607	198.051
5.61	207.875
5.613	214.779
5.617	215.828
5.62	214.303
5.623	210.886
5.627	207.889
5.63	205.12
5.633	201.469
5.637	197.393
5.64	194.231
5.643	192.748
5.647	191.254
5.65	187.976
5.653	183.431
5.657	178.86
5.66	166.445
5.663	156.748
