depth	d18O
38.272	-31.58
38.32	-31.36
38.368	-31.79
38.416	-32.49
38.464	-33.71
38.512	-34.96
38.56	-35.66
38.608	-35.65
38.657	-35.23
38.705	-34.46
38.753	-33.57
38.8	-33.76
38.848	-34.3
38.896	-35.36
38.944	-35.91
38.992	-35.9
39.04	-35.46
39.088	-35.1
39.136	-35.93
39.184	-37.13
39.231	-38.66
39.279	-39.29
39.327	-39.2
39.375	-38.28
39.422	-36.59
39.47	-35.44
39.518	-34.88
39.566	-35.04
39.613	-36.12
39.661	-37.23
39.709	-37.79
39.756	-37.41
39.804	-36.2
39.852	-34.52
39.899	-33.54
39.947	-33.43
39.994	-33.88
40.042	-34.01
40.089	-33.76
40.137	-33.83
40.184	-34.14
40.232	-34.24
40.279	-34.39
40.327	-34.39
40.374	-34.22
40.421	-33.96
40.469	-33.57
40.516	-33.54
40.564	-34
40.611	-34.49
40.658	-34.43
40.706	-32.97
40.753	-31.22
40.8	-29.69
40.847	-29.15
40.895	-29.47
40.942	-30.39
40.989	-32.06
41.036	-33.4
41.083	-34.51
41.131	-35.8
41.178	-36.51
41.225	-36.82
41.272	-36.53
41.319	-36.55
41.366	-36.78
41.413	-37.2
41.46	-37.53
41.507	-37.25
41.554	-36.53
41.601	-35.25
41.649	-34.3
41.696	-34.17
41.743	-34.79
41.789	-35.61
41.836	-35.85
41.883	-35.62
41.93	-34.88
41.977	-34.26
42.024	-33.77
42.071	-33.66
42.118	-33.96
42.165	-34.56
42.211	-35.2
42.258	-35.55
42.305	-35.04
42.352	-34.25
42.398	-33.33
42.445	-32.54
42.492	-32.28
42.539	-32.61
42.585	-33.49
42.632	-34.21
42.679	-34.15
42.725	-33.65
42.772	-33.19
42.819	-32.82
42.865	-31.91
42.912	-31.55
42.958	-31.56
43.005	-31.87
43.052	-32.96
43.098	-33.85
43.145	-34.51
43.191	-34.87
43.238	-35.01
43.284	-33.97
43.331	-32.74
43.377	-31.53
43.423	-30.45
43.47	-30.6
43.516	-31.62
43.563	-32.69
43.609	-32.99
43.655	-32.38
43.702	-31.53
43.748	-30.9
43.794	-30.99
43.841	-31.92
43.887	-33.7
43.933	-35.36
43.98	-36.2
44.026	-35.96
44.072	-35.45
44.118	-35.02
44.164	-34.93
44.21	-35.58
44.257	-36.51
44.303	-37.21
44.349	-37.46
44.395	-36.85
44.441	-36.16
44.487	-35.66
44.533	-35.47
44.579	-35.49
44.626	-35.34
44.672	-34.62
44.718	-33.51
44.764	-32.5
44.81	-31.67
44.856	-31.45
44.902	-31.85
44.948	-33
44.993	-34.53
45.039	-35.85
45.085	-36.65
45.131	-36.96
45.177	-36.96
45.223	-36.24
45.269	-35.79
45.315	-35.42
45.361	-35.84
45.406	-36.64
45.452	-37.05
45.498	-36.66
45.544	-35.18
45.589	-33.28
45.635	-31.84
45.681	-31.02
45.727	-31.51
45.772	-33.41
45.818	-35.35
45.864	-35.67
45.909	-35.17
45.955	-33.99
46.001	-32.82
46.046	-31.68
46.092	-30.78
46.138	-30.77
46.183	-31.23
46.229	-32.09
46.274	-33.06
46.32	-33.71
46.365	-34.04
46.411	-34.01
46.456	-34.01
46.502	-33.65
46.547	-34.06
46.593	-34.53
46.638	-35.43
46.684	-35.63
46.729	-35.09
46.775	-34.45
46.82	-33.66
46.865	-33.19
46.911	-33.25
46.956	-33.84
47.001	-34.67
47.047	-35.02
47.092	-34.76
47.137	-34.17
47.183	-34.06
47.228	-34.3
47.273	-35.42
47.318	-36.34
47.364	-36.57
47.409	-36.17
47.454	-34.94
47.499	-33.31
47.544	-32.09
47.59	-31.04
47.635	-30.67
47.68	-31.18
47.725	-32.04
47.77	-33.22
47.815	-34.32
47.86	-35.15
47.906	-35.44
47.951	-34.93
47.996	-33.88
48.041	-33.18
48.086	-32.94
48.131	-33.4
48.176	-34.74
48.221	-35.81
48.266	-35.82
48.311	-35.24
48.356	-34.06
48.401	-33.18
48.445	-33.15
